Anio;Periodo;CodigoDistrito;NombreDistrito;CodigoBarrio;NombreBarrio;DatoPoblacion;DatoPoblacionMenor16;DatoPoblacionEntre16y64;DatoPoblacionMayor65;DatoSobreEnvejecimiento;DatoSobreenvejecimientoHombres;DatoSobreenvejecimientoMujeres;DatoFeminidad;DatoNacionalidadExtranjera;DatoParadosRegistrados;DatoParadosRegistradosHombres;DatoParadosRegistradosMujer;DatoAfiliacionesTrabajo;DatoAfiliacionesTrabajoHombres;DatoAfiliacionesTrabajoMujer;DatoAfiliacionesResidencia;DatoAfiliacionesResidenciaHombres;DatoAfiliacionesResidenciaMujer;DatoAutonomo;DatoAutonomosHombres;DatoAutonomosMujer
2009;Anual;13;Puente de Vallecas;131;Entrevías;37060;15.4;64.24;20.36;28.13;25.3;30.0;105.0;14.6;;;;;;;;;;;;
2010;Anual;13;Puente de Vallecas;131;Entrevías;36435;15.33;63.99;20.68;30.92;27.6;33.1;105.7;14.03;;;;2944.0;1.997;947;;;;781.0;585;196
2011;Anual;13;Puente de Vallecas;131;Entrevías;35508;15.1;63.86;21.04;33.12;30.2;35.0;106.4;13.81;;;;3377.0;2.337;1.040;;;;776.0;563;213
2012;Anual;13;Puente de Vallecas;131;Entrevías;34689;14.97;63.92;21.11;35.02;32.0;37.0;107.5;13.15;4076.0;2.264;1.812;3284.0;2.215;1.069;;;;774.0;562;212
2013;Anual;13;Puente de Vallecas;131;Entrevías;34146;14.84;63.96;21.2;37.47;34.5;39.3;108.0;12.31;4066.0;2.265;1.801;2805.0;1.804;1.001;10348.0;5.137;5.211;771.0;561;210
2014;Anual;13;Puente de Vallecas;131;Entrevías;33674;14.89;63.81;21.3;39.67;36.0;41.9;108.0;11.51;3879.0;2.164;1.715;2972.0;1.858;1.114;9128.0;4.572;4.556;816.0;576;240
2015;Anual;13;Puente de Vallecas;131;Entrevías;33480;14.72;64.09;21.19;40.86;36.2;43.7;108.3;11.2;3622.0;1.937;1.685;3316.0;2.142;1.174;9261.0;4.629;4.632;817.0;557;260
2016;Anual;13;Puente de Vallecas;131;Entrevías;33521;14.84;64.42;20.73;41.31;36.3;44.4;108.9;11.64;3217.0;1.657;1.560;3331.0;2.195;1.136;10760.0;5.369;5.391;822.0;572;250
2017;Anual;13;Puente de Vallecas;131;Entrevías;33541;14.82;64.84;20.34;41.69;36.3;45.0;108.5;12.32;3102.0;1.572;1.530;3610.0;2.415;1.195;11418.0;5.658;5.760;904.0;619;285
2018;Anual;13;Puente de Vallecas;131;Entrevías;33986;14.6;65.42;19.98;41.82;35.9;45.5;108.3;13.89;2923.0;1.406;1.517;3391.0;2.266;1.125;11800.0;5.863;5.937;694.0;468;226
2019;Anual;13;Puente de Vallecas;131;Entrevías;34698;14.62;65.97;19.41;42.0;36.3;45.5;108.1;15.48;2799.0;1.355;1.444;4013.0;2.662;1.351;12398.0;6.217;6.181;1003.0;698;305
2020;Anual;13;Puente de Vallecas;131;Entrevías;35516;14.48;66.56;18.96;40.9;34.7;44.8;108.0;17.02;3638.0;1.793;1.845;3900.0;2.550;1.350;12724.0;6.433;6.291;1078.0;756;322
2021;Anual;13;Puente de Vallecas;131;Entrevías;35239;14.22;67.2;18.57;39.9;33.6;43.8;108.2;17.86;3082.0;1.455;1.627;3854.0;2.520;1.334;12486.0;6.193;6.293;1057.0;745;312
2022;Anual;13;Puente de Vallecas;131;Entrevías;34690;14.21;67.13;18.66;38.4;31.8;42.5;109.1;17.78;2508.0;1.203;1.305;3833.0;2.537;1.296;13226.0;6.556;6.670;1016.0;716;300
2005;Anual;11;Carabanchel;114;Vista Alegre;48791;11.85;68.03;20.12;25.0;20.0;28.2;111.5;20.07;;;;;;;;;;;;
2006;Anual;11;Carabanchel;114;Vista Alegre;49360;11.81;67.75;20.44;25.44;20.5;28.7;111.3;22.59;;;;;;;;;;;;
2007;Anual;11;Carabanchel;114;Vista Alegre;48499;11.84;67.52;20.65;25.91;21.3;29.0;111.6;23.58;;;;;;;;;;;;
2008;Anual;11;Carabanchel;114;Vista Alegre;48665;11.98;67.43;20.59;26.39;21.5;29.6;111.6;25.33;;;;;;;;;;;;
2009;Anual;11;Carabanchel;114;Vista Alegre;48724;12.07;67.16;20.77;27.63;22.6;30.9;111.5;26.16;;;;;;;;;;;;
2010;Anual;11;Carabanchel;114;Vista Alegre;48567;12.29;66.69;21.02;28.82;24.7;31.5;112.4;26.32;;;;6356.0;3.556;2.800;;;;1855.0;1.239;616
2011;Anual;11;Carabanchel;114;Vista Alegre;47771;12.34;66.03;21.63;29.64;25.7;32.2;114.0;25.83;;;;6121.0;3.475;2.646;;;;1850.0;1.236;614
2012;Anual;11;Carabanchel;114;Vista Alegre;46358;12.55;65.15;22.3;30.7;26.8;33.2;116.1;23.52;4094.0;2.120;1.974;5928.0;3.265;2.663;;;;1610.0;1.079;531
2013;Anual;11;Carabanchel;114;Vista Alegre;45366;12.56;64.67;22.77;31.59;28.0;33.9;117.8;21.43;4062.0;2.111;1.951;5925.0;3.077;2.848;15272.0;6.874;8.398;1707.0;1.121;586
2014;Anual;11;Carabanchel;114;Vista Alegre;44434;12.51;64.04;23.45;32.56;29.1;34.8;118.2;19.64;3773.0;1.922;1.851;6004.0;3.072;2.932;13178.0;5.907;7.271;1814.0;1.180;634
2015;Anual;11;Carabanchel;114;Vista Alegre;43851;12.58;63.64;23.77;33.93;31.0;35.8;119.7;17.8;3520.0;1.720;1.800;6006.0;3.038;2.968;13120.0;5.909;7.211;1926.0;1.231;695
2016;Anual;11;Carabanchel;114;Vista Alegre;44161;12.71;63.64;23.65;34.68;31.7;36.5;119.2;18.28;3114.0;1.468;1.646;6037.0;3.078;2.959;15282.0;6.899;8.383;1921.0;1.238;683
2017;Anual;11;Carabanchel;114;Vista Alegre;44320;12.83;63.73;23.45;35.59;32.4;37.6;119.7;19.01;2850.0;1.321;1.529;6184.0;3.211;2.973;16132.0;7.339;8.793;2023.0;1.305;718
2018;Anual;11;Carabanchel;114;Vista Alegre;45008;12.64;64.01;23.35;35.95;32.8;37.9;119.8;20.36;2547.0;1.155;1.392;5909.0;3.024;2.885;16360.0;7.508;8.852;1562.0;1.054;508
2019;Anual;11;Carabanchel;114;Vista Alegre;45975;12.62;64.61;22.77;36.6;33.4;38.7;120.0;22.16;2573.0;1.184;1.389;6882.0;3.523;3.359;17150.0;7.849;9.301;2166.0;1.397;769
2020;Anual;11;Carabanchel;114;Vista Alegre;47602;12.59;65.28;22.14;35.9;32.7;38.0;119.1;24.38;3449.0;1.566;1.883;7117.0;3.593;3.524;17438.0;8.077;9.361;2232.0;1.429;803
2021;Anual;11;Carabanchel;114;Vista Alegre;47082;12.37;65.56;22.08;37.1;33.4;39.4;119.6;24.91;2811.0;1.250;1.561;6683.0;3.379;3.304;17370.0;8.010;9.360;2132.0;1.382;750
2022;Anual;11;Carabanchel;114;Vista Alegre;46474;12.14;65.63;22.22;36.8;33.2;39.1;119.1;24.65;2243.0;993;1.250;7046.0;3.547;3.499;18108.0;8.255;9.853;2071.0;1.332;739
2005;Anual;18;Villa de Vallecas;182;Santa Eugenia;27316;16.32;73.17;10.52;23.03;17.4;26.9;104.2;8.13;;;;;;;;;;;;
2006;Anual;18;Villa de Vallecas;182;Santa Eugenia;27312;15.72;73.27;11.01;23.8;17.6;28.0;104.6;9.45;;;;;;;;;;;;
2007;Anual;18;Villa de Vallecas;182;Santa Eugenia;27185;15.21;73.51;11.27;23.99;17.9;28.1;105.4;10.65;;;;;;;;;;;;
2008;Anual;18;Villa de Vallecas;182;Santa Eugenia;27142;14.5;73.75;11.75;24.67;18.6;28.8;105.8;12.17;;;;;;;;;;;;
2009;Anual;18;Villa de Vallecas;182;Santa Eugenia;26914;14.06;73.66;12.28;24.71;18.6;28.9;105.7;13.04;;;;;;;;;;;;
2010;Anual;18;Villa de Vallecas;182;Santa Eugenia;26544;13.75;73.35;12.9;24.01;19.1;27.5;105.5;13.3;;;;2069.0;1.197;872;;;;583.0;411;172
2011;Anual;18;Villa de Vallecas;182;Santa Eugenia;26201;13.27;73.13;13.6;24.52;19.4;28.2;105.6;13.43;;;;2408.0;1.443;965;;;;613.0;431;182
2012;Anual;18;Villa de Vallecas;182;Santa Eugenia;25610;13.09;72.39;14.52;24.64;20.4;27.7;106.6;11.9;2272.0;1.089;1.183;2037.0;1.143;894;;;;518.0;376;142
2013;Anual;18;Villa de Vallecas;182;Santa Eugenia;25269;12.75;71.86;15.39;24.35;20.3;27.4;107.2;11.61;2217.0;1.086;1.131;2275.0;1.107;1.168;9435.0;4.685;4.750;540.0;380;160
2014;Anual;18;Villa de Vallecas;182;Santa Eugenia;24705;12.65;70.69;16.66;24.68;20.7;27.8;108.0;10.39;2072.0;999;1.073;1972.0;1.059;913;8313.0;4.074;4.239;587.0;406;181
2015;Anual;18;Villa de Vallecas;182;Santa Eugenia;24462;12.33;69.98;17.69;24.68;20.3;28.1;107.4;9.91;1827.0;829;998;2023.0;1.081;942;8414.0;4.105;4.309;615.0;416;199
2016;Anual;18;Villa de Vallecas;182;Santa Eugenia;24388;12.19;69.09;18.72;24.64;20.5;27.8;107.4;9.6;1635.0;732;903;2075.0;1.091;984;9530.0;4.722;4.808;621.0;415;206
2017;Anual;18;Villa de Vallecas;182;Santa Eugenia;24129;11.76;68.6;19.64;24.56;20.4;27.8;108.6;9.31;1498.0;661;837;2111.0;1.123;988;9666.0;4.744;4.922;659.0;441;218
2018;Anual;18;Villa de Vallecas;182;Santa Eugenia;24295;11.82;67.77;20.42;24.62;20.6;27.6;108.1;9.85;1419.0;617;802;2807.0;1.868;939;9828.0;4.837;4.991;484.0;320;164
2019;Anual;18;Villa de Vallecas;182;Santa Eugenia;24328;11.7;67.04;21.26;24.5;20.6;27.4;108.1;10.32;1419.0;600;819;3174.0;2.149;1.025;10042.0;5.006;5.036;765.0;509;256
2020;Anual;18;Villa de Vallecas;182;Santa Eugenia;24684;11.67;66.42;21.91;24.1;20.7;26.7;108.6;10.63;1693.0;760;933;3161.0;2.115;1.046;10074.0;5.044;5.030;810.0;528;282
2021;Anual;18;Villa de Vallecas;182;Santa Eugenia;24288;11.71;65.47;22.82;23.5;20.1;26.0;108.7;;1430.0;614;816;3045.0;2.041;1.004;9936.0;4.901;5.035;787.0;505;282
2022;Anual;18;Villa de Vallecas;182;Santa Eugenia;24110;11.59;64.71;23.7;23.2;20.1;25.4;109.4;;1091.0;447;644;3095.0;2.077;1.018;10103.0;4.943;5.160;762.0;478;284
2005;Anual;12;Usera;124;Almendrales;19700;14.28;64.88;20.84;24.62;21.6;26.5;107.4;27.01;;;;;;;;;;;;
2006;Anual;12;Usera;124;Almendrales;20528;14.36;65.64;20.0;25.06;21.8;27.1;107.7;30.26;;;;;;;;;;;;
2007;Anual;12;Usera;124;Almendrales;21039;14.6;66.39;19.01;27.21;24.6;28.9;107.9;31.02;;;;;;;;;;;;
2008;Anual;12;Usera;124;Almendrales;22171;15.25;67.01;17.74;28.68;26.3;30.2;106.7;33.73;;;;;;;;;;;;
2009;Anual;12;Usera;124;Almendrales;22562;15.5;67.12;17.38;30.32;28.0;31.8;105.8;34.18;;;;;;;;;;;;
2010;Anual;12;Usera;124;Almendrales;22607;15.58;67.11;17.31;32.58;29.8;34.3;107.6;34.0;;;;7071.0;3.270;3.801;;;;722.0;487;235
2011;Anual;12;Usera;124;Almendrales;22172;15.81;66.81;17.38;35.12;32.9;36.5;108.6;32.7;;;;7095.0;3.215;3.880;;;;685.0;464;221
2012;Anual;12;Usera;124;Almendrales;21955;16.16;66.53;17.31;37.37;34.5;39.1;111.1;30.61;1902.0;973;929;6610.0;2.989;3.621;;;;586.0;402;184
2013;Anual;12;Usera;124;Almendrales;21371;16.17;66.34;17.49;39.84;37.2;41.4;113.0;28.46;1858.0;952;906;6755.0;3.055;3.700;7151.0;3.283;3.868;619.0;413;206
2014;Anual;12;Usera;124;Almendrales;20678;15.89;66.06;18.06;40.97;38.4;42.5;114.5;26.0;1756.0;879;877;6671.0;3.032;3.639;6029.0;2.742;3.287;682.0;461;221
2015;Anual;12;Usera;124;Almendrales;20293;15.77;66.07;18.16;42.42;38.9;44.4;115.5;24.26;1666.0;814;852;6406.0;2.962;3.444;6072.0;2.760;3.312;722.0;475;247
2016;Anual;12;Usera;124;Almendrales;20421;15.68;66.52;17.8;43.82;39.8;46.2;115.1;24.1;1489.0;705;784;6197.0;2.948;3.249;7043.0;3.223;3.820;747.0;510;237
2017;Anual;12;Usera;124;Almendrales;20525;15.16;67.47;17.36;44.81;40.4;47.3;114.1;25.14;1406.0;672;734;5858.0;2.462;3.396;7716.0;3.593;4.123;790.0;524;266
2018;Anual;12;Usera;124;Almendrales;20986;15.05;68.12;16.83;45.16;40.1;48.1;113.6;26.19;1343.0;601;742;9222.0;2.474;6.748;7729.0;3.631;4.098;545.0;372;173
2019;Anual;12;Usera;124;Almendrales;21439;15.29;68.42;16.29;44.1;38.4;47.5;113.5;27.38;1353.0;606;747;11995.0;2.675;9.320;8088.0;3.841;4.247;844.0;543;301
2020;Anual;12;Usera;124;Almendrales;22179;15.01;69.21;15.79;42.6;36.9;45.9;114.0;29.2;1857.0;852;1.005;11564.0;2.557;9.007;8319.0;3.963;4.356;883.0;568;315
2021;Anual;12;Usera;124;Almendrales;22516;14.87;69.67;15.46;41.1;34.8;44.9;113.6;29.18;1469.0;676;793;7618.0;2.462;5.156;8344.0;3.942;4.402;867.0;565;302
2022;Anual;12;Usera;124;Almendrales;22499;15.09;69.33;15.57;40.0;31.8;44.8;113.8;28.27;1116.0;491;625;7639.0;2.519;5.120;9023.0;4.230;4.793;870.0;571;299
2005;Anual;11;Carabanchel;115;Puerta Bonita;34672;13.94;66.41;19.64;26.3;21.0;29.6;107.9;19.76;;;;;;;;;;;;
2006;Anual;11;Carabanchel;115;Puerta Bonita;35336;14.1;66.23;19.67;26.59;22.0;29.6;106.6;22.63;;;;;;;;;;;;
2007;Anual;11;Carabanchel;115;Puerta Bonita;35350;14.26;66.53;19.21;27.7;23.4;30.6;105.0;24.24;;;;;;;;;;;;
2008;Anual;11;Carabanchel;115;Puerta Bonita;35768;14.49;66.64;18.87;28.31;24.0;31.1;105.1;25.98;;;;;;;;;;;;
2009;Anual;11;Carabanchel;115;Puerta Bonita;35956;14.81;66.35;18.84;29.83;26.0;32.3;105.7;26.61;;;;;;;;;;;;
2010;Anual;11;Carabanchel;115;Puerta Bonita;35587;15.28;66.16;18.56;29.87;27.1;31.7;105.6;26.24;;;;3561.0;2.058;1.503;;;;979.0;669;310
2011;Anual;11;Carabanchel;115;Puerta Bonita;35327;15.54;65.59;18.87;31.1;27.6;33.3;107.4;25.16;;;;3543.0;2.000;1.543;;;;951.0;644;307
2012;Anual;11;Carabanchel;115;Puerta Bonita;34529;15.31;65.19;19.5;33.4;30.1;35.5;108.4;22.51;3232.0;1.745;1.487;3375.0;1.920;1.455;;;;841.0;580;261
2013;Anual;11;Carabanchel;115;Puerta Bonita;33844;15.56;64.6;19.85;34.96;31.5;37.2;110.5;20.63;3286.0;1.747;1.539;3577.0;1.865;1.712;11000.0;5.202;5.798;872.0;610;262
2014;Anual;11;Carabanchel;115;Puerta Bonita;32910;15.3;64.4;20.3;36.49;32.8;38.8;111.8;18.23;3015.0;1.554;1.461;3471.0;1.763;1.708;9604.0;4.549;5.055;944.0;653;291
2015;Anual;11;Carabanchel;115;Puerta Bonita;32442;15.35;64.25;20.41;37.48;34.1;39.6;113.1;17.12;2793.0;1.389;1.404;3762.0;1.918;1.844;9680.0;4.625;5.055;968.0;664;304
2016;Anual;11;Carabanchel;115;Puerta Bonita;32800;15.26;64.75;19.99;38.93;36.2;40.6;113.0;17.77;2574.0;1.206;1.368;3793.0;1.978;1.815;11092.0;5.312;5.780;1009.0;694;315
2017;Anual;11;Carabanchel;115;Puerta Bonita;32991;15.0;65.31;19.69;39.43;36.0;41.6;113.4;18.47;2458.0;1.130;1.328;3878.0;2.004;1.874;11863.0;5.649;6.214;1075.0;732;343
2018;Anual;11;Carabanchel;115;Puerta Bonita;33933;15.08;65.8;19.13;40.14;35.8;42.8;112.9;20.36;2317.0;1.069;1.248;3887.0;1.966;1.921;12176.0;5.858;6.318;861.0;585;276
2019;Anual;11;Carabanchel;115;Puerta Bonita;34860;14.87;66.65;18.48;40.4;35.7;43.3;113.6;22.45;2310.0;1.041;1.269;3226.0;1.842;1.384;12917.0;6.258;6.659;1161.0;791;370
2020;Anual;11;Carabanchel;115;Puerta Bonita;35932;14.64;67.45;17.9;40.1;35.0;43.2;113.6;24.4;3066.0;1.360;1.706;3378.0;1.900;1.478;13257.0;6.477;6.780;1206.0;810;396
2021;Anual;11;Carabanchel;115;Puerta Bonita;35947;14.27;68.27;17.46;39.9;34.2;43.4;113.1;25.51;2495.0;1.113;1.382;3284.0;1.851;1.433;13191.0;6.444;6.747;1166.0;790;376
2022;Anual;11;Carabanchel;115;Puerta Bonita;35395;13.96;68.49;17.55;39.7;33.5;43.4;112.6;25.05;2045.0;879;1.166;3292.0;1.855;1.437;13933.0;6.720;7.213;1148.0;783;365
2005;Anual;11;Carabanchel;117;Abrantes;29843;13.31;68.03;18.65;24.61;20.2;27.4;109.4;19.01;;;;;;;;;;;;
2006;Anual;11;Carabanchel;117;Abrantes;30702;13.61;67.94;18.45;25.59;21.0;28.5;107.3;21.51;;;;;;;;;;;;
2007;Anual;11;Carabanchel;117;Abrantes;30857;13.94;68.08;17.98;27.01;22.0;30.2;106.6;23.25;;;;;;;;;;;;
2008;Anual;11;Carabanchel;117;Abrantes;31321;14.47;67.89;17.64;28.57;23.4;31.8;106.5;25.02;;;;;;;;;;;;
2009;Anual;11;Carabanchel;117;Abrantes;31461;14.97;67.43;17.59;30.01;25.4;32.8;107.2;25.26;;;;;;;;;;;;
2010;Anual;11;Carabanchel;117;Abrantes;31197;15.4;67.0;17.6;30.79;26.3;33.6;108.2;24.78;;;;3394.0;1.655;1.739;;;;785.0;543;242
2011;Anual;11;Carabanchel;117;Abrantes;30901;15.83;66.36;17.81;31.78;27.6;34.3;108.3;24.04;;;;3551.0;1.766;1.785;;;;831.0;585;246
2012;Anual;11;Carabanchel;117;Abrantes;30333;16.37;65.55;18.08;32.73;28.1;35.6;110.0;21.42;2667.0;1.362;1.305;2093.0;1.259;834;;;;717.0;512;205
2013;Anual;11;Carabanchel;117;Abrantes;29962;16.82;64.87;18.32;34.2;29.4;37.2;112.6;19.23;2746.0;1.402;1.344;2378.0;1.325;1.053;10098.0;4.803;5.295;764.0;541;223
2014;Anual;11;Carabanchel;117;Abrantes;29249;16.74;64.43;18.83;36.17;30.9;39.4;113.5;17.09;2564.0;1.276;1.288;2504.0;1.357;1.147;8792.0;4.134;4.658;846.0;591;255
2015;Anual;11;Carabanchel;117;Abrantes;28996;16.85;64.08;19.07;37.5;33.1;40.2;114.0;15.49;2326.0;1.100;1.226;2613.0;1.462;1.151;8879.0;4.212;4.667;866.0;609;257
2016;Anual;11;Carabanchel;117;Abrantes;29082;17.0;64.0;19.0;38.01;33.4;40.8;114.8;15.81;2049.0;959;1.090;2774.0;1.553;1.221;10317.0;4.846;5.471;920.0;642;278
2017;Anual;11;Carabanchel;117;Abrantes;29373;17.09;64.18;18.73;38.51;34.5;41.0;115.3;16.33;1937.0;874;1.063;2991.0;1.660;1.331;10778.0;5.066;5.712;1014.0;717;297
2018;Anual;11;Carabanchel;117;Abrantes;29769;16.67;64.88;18.45;38.26;33.7;41.0;115.0;17.68;1858.0;809;1.049;2761.0;1.515;1.246;11087.0;5.268;5.819;632.0;465;167
2019;Anual;11;Carabanchel;117;Abrantes;30739;16.36;65.69;17.95;38.1;33.8;40.8;115.0;19.62;1846.0;803;1.043;3489.0;1.990;1.499;11570.0;5.581;5.989;1189.0;863;326
2020;Anual;11;Carabanchel;117;Abrantes;31947;16.08;66.5;17.42;36.6;32.6;39.1;114.4;22.06;2462.0;1.075;1.387;3491.0;1.995;1.496;11971.0;5.825;6.146;1244.0;901;343
2021;Anual;11;Carabanchel;117;Abrantes;31517;15.62;67.08;17.29;36.9;32.5;39.6;114.8;22.59;2008.0;846;1.162;3396.0;1.948;1.448;11901.0;5.746;6.155;1185.0;855;330
2022;Anual;11;Carabanchel;117;Abrantes;30925;15.14;67.33;17.53;36.1;31.1;39.2;115.3;22.32;1585.0;678;907;3423.0;1.905;1.518;12327.0;5.892;6.435;1135.0;802;333
2005;Anual;12;Usera;127;Pradolongo;17137;13.04;67.81;19.14;22.8;20.1;24.7;106.5;26.25;;;;;;;;;;;;
2006;Anual;12;Usera;127;Pradolongo;17502;13.06;67.32;19.62;25.48;22.9;27.2;106.1;28.91;;;;;;;;;;;;
2007;Anual;12;Usera;127;Pradolongo;17422;12.97;67.62;19.41;27.56;24.1;29.8;107.0;30.24;;;;;;;;;;;;
2008;Anual;12;Usera;127;Pradolongo;17708;13.12;68.2;18.69;28.53;25.1;30.8;105.5;32.5;;;;;;;;;;;;
2009;Anual;12;Usera;127;Pradolongo;17839;13.56;68.0;18.44;29.19;26.1;31.2;105.9;33.99;;;;;;;;;;;;
2010;Anual;12;Usera;127;Pradolongo;17884;13.69;67.77;18.54;31.15;27.7;33.4;105.4;34.22;;;;2585.0;1.489;1.096;;;;846.0;598;248
2011;Anual;12;Usera;127;Pradolongo;17498;13.94;67.41;18.65;32.15;28.0;34.8;106.9;33.24;;;;2378.0;1.316;1.062;;;;722.0;496;226
2012;Anual;12;Usera;127;Pradolongo;17261;14.35;66.91;18.74;34.0;29.8;36.7;110.0;31.42;1603.0;866;737;2171.0;1.149;1.022;;;;604.0;427;177
2013;Anual;12;Usera;127;Pradolongo;16853;14.67;66.21;19.12;34.89;30.3;37.8;111.6;29.54;1570.0;819;751;2318.0;1.201;1.117;5577.0;2.570;3.007;649.0;451;198
2014;Anual;12;Usera;127;Pradolongo;16604;14.76;66.3;18.94;36.44;32.0;39.3;112.1;28.4;1461.0;754;707;2417.0;1.274;1.143;4706.0;2.143;2.563;698.0;476;222
2015;Anual;12;Usera;127;Pradolongo;16441;15.01;66.12;18.87;37.54;34.5;39.5;112.9;27.14;1302.0;641;661;2490.0;1.309;1.181;4730.0;2.145;2.585;731.0;485;246
2016;Anual;12;Usera;127;Pradolongo;16719;14.78;66.67;18.55;38.91;36.0;40.8;113.6;28.4;1211.0;582;629;2609.0;1.333;1.276;5610.0;2.596;3.014;738.0;488;250
2017;Anual;12;Usera;127;Pradolongo;16817;14.56;67.24;18.21;40.2;37.2;42.1;113.6;29.68;1121.0;522;599;2800.0;1.442;1.358;6101.0;2.811;3.290;774.0;519;255
2018;Anual;12;Usera;127;Pradolongo;17233;14.63;67.86;17.51;41.29;36.9;44.0;112.9;31.93;1010.0;469;541;2677.0;1.438;1.239;6017.0;2.826;3.191;719.0;490;229
2019;Anual;12;Usera;127;Pradolongo;17430;14.45;68.35;17.2;41.0;35.7;44.4;113.7;33.88;1063.0;464;599;2915.0;1.535;1.380;6389.0;2.999;3.390;846.0;567;279
2020;Anual;12;Usera;127;Pradolongo;17847;14.01;69.4;16.59;40.5;34.8;44.1;113.7;36.4;1457.0;651;806;2900.0;1.509;1.391;6391.0;3.024;3.367;887.0;580;307
2021;Anual;12;Usera;127;Pradolongo;17905;14.04;69.77;16.19;40.5;34.7;44.2;112.8;37.75;1150.0;520;630;2577.0;1.311;1.266;6138.0;2.916;3.222;833.0;541;292
2022;Anual;12;Usera;127;Pradolongo;17442;13.84;69.81;16.35;39.8;33.8;43.7;112.2;36.62;892.0;383;509;2673.0;1.376;1.297;6576.0;3.134;3.442;842.0;542;300
2005;Anual;12;Usera;126;Zofío;14485;14.45;66.28;19.28;25.84;21.9;28.4;106.6;20.91;;;;;;;;;;;;
2006;Anual;12;Usera;126;Zofío;14704;14.38;66.57;19.04;27.18;21.8;30.7;106.9;24.2;;;;;;;;;;;;
2007;Anual;12;Usera;126;Zofío;14444;14.46;66.63;18.91;29.0;24.8;31.7;107.5;25.11;;;;;;;;;;;;
2008;Anual;12;Usera;126;Zofío;14684;14.44;67.26;18.3;31.04;26.3;34.1;106.0;27.02;;;;;;;;;;;;
2009;Anual;12;Usera;126;Zofío;14623;14.69;67.18;18.13;31.72;26.3;35.2;105.5;27.94;;;;;;;;;;;;
2010;Anual;12;Usera;126;Zofío;14614;15.05;67.03;17.92;32.65;26.8;36.4;107.7;28.35;;;;1079.0;723;356;;;;374.0;289;85
2011;Anual;12;Usera;126;Zofío;14200;14.8;66.62;18.58;33.66;27.7;37.5;108.6;26.87;;;;1278.0;864;414;;;;374.0;288;86
2012;Anual;12;Usera;126;Zofío;13877;14.79;66.35;18.87;35.41;30.1;38.8;109.7;24.57;1304.0;694;610;1200.0;785;415;;;;327.0;248;79
2013;Anual;12;Usera;126;Zofío;13634;14.89;65.96;19.15;36.65;31.9;39.6;112.5;22.57;1326.0;683;643;1177.0;720;457;4519.0;2.139;2.380;333.0;250;83
2014;Anual;12;Usera;126;Zofío;13398;14.52;66.14;19.34;37.55;31.5;41.5;113.3;20.88;1254.0;659;595;1197.0;734;463;3871.0;1.772;2.099;344.0;255;89
2015;Anual;12;Usera;126;Zofío;13250;14.62;66.01;19.37;38.76;33.5;42.1;114.4;19.28;1219.0;584;635;1208.0;716;492;3895.0;1.770;2.125;394.0;281;113
2016;Anual;12;Usera;126;Zofío;13242;14.45;66.45;19.1;40.13;35.0;43.4;114.5;19.34;1019.0;487;532;1252.0;741;511;4519.0;2.112;2.407;404.0;281;123
2017;Anual;12;Usera;126;Zofío;13446;14.47;66.83;18.7;41.53;36.6;44.7;114.5;20.61;951.0;444;507;1304.0;787;517;4903.0;2.318;2.585;430.0;306;124
2018;Anual;12;Usera;126;Zofío;13697;13.99;67.77;18.24;41.07;35.8;44.5;115.0;22.27;861.0;387;474;1283.0;751;532;5002.0;2.350;2.652;362.0;254;108
2019;Anual;12;Usera;126;Zofío;13968;13.76;68.21;18.03;39.9;34.6;43.4;114.6;23.79;880.0;413;467;1578.0;1.001;577;5335.0;2.530;2.805;484.0;354;130
2020;Anual;12;Usera;126;Zofío;14412;13.59;69.06;17.35;38.7;33.7;42.1;112.8;25.96;1185.0;517;668;1678.0;1.038;640;5447.0;2.647;2.800;522.0;374;148
2021;Anual;12;Usera;126;Zofío;14336;13.22;69.72;17.06;38.6;32.5;42.4;112.9;;937.0;410;527;1575.0;1.000;575;5359.0;2.585;2.774;479.0;347;132
2022;Anual;12;Usera;126;Zofío;14022;13.09;69.21;17.7;36.7;31.0;40.3;113.4;;743.0;322;421;1447.0;890;557;5631.0;2.696;2.935;454.0;329;125
2005;Anual;12;Usera;122;Orcasur;11911;17.33;66.68;15.99;22.73;16.6;26.4;105.4;8.11;;;;;;;;;;;;
2006;Anual;12;Usera;122;Orcasur;12094;17.02;67.03;15.95;23.17;18.4;26.0;106.3;10.47;;;;;;;;;;;;
2007;Anual;12;Usera;122;Orcasur;12544;17.69;67.05;15.26;24.03;19.8;26.6;107.1;12.68;;;;;;;;;;;;
2008;Anual;12;Usera;122;Orcasur;12844;17.96;67.11;14.93;26.07;22.6;28.2;106.9;13.98;;;;;;;;;;;;
2009;Anual;12;Usera;122;Orcasur;13202;18.25;67.16;14.6;28.28;24.1;30.8;106.4;14.0;;;;;;;;;;;;
2010;Anual;12;Usera;122;Orcasur;13385;18.28;67.29;14.43;30.19;26.7;32.3;107.1;13.89;;;;2116.0;1.399;717;;;;231.0;171;60
2011;Anual;12;Usera;122;Orcasur;13423;18.69;66.68;14.62;33.01;29.2;35.3;107.0;14.01;;;;2045.0;1.350;695;;;;236.0;170;66
2012;Anual;12;Usera;122;Orcasur;13308;18.51;66.81;14.68;34.95;30.3;37.7;107.7;13.13;1544.0;768;776;2081.0;1.336;745;;;;211.0;149;62
