CodigoBarrio;Anio;numero_alojamientos
95;2018;7
95;2019;7
95;2020;7
95;2021;6
95;2022;6
96;2015;2
96;2016;2
96;2017;2
96;2018;2
96;2019;2
96;2020;2
96;2021;2
96;2022;2
97;2015;2
97;2016;2
97;2017;2
97;2018;2
97;2019;2
97;2020;2
97;2021;3
97;2022;3
