Año,Id Área,Nombre Área,Presupuesto Gasto,Gasto Real
2023,216,Hortaleza,19936924.68,
2023,217,Villaverde,13416829.76,
2023,214,Moratalaz,5583906.54,2683.54
2023,215,Ciudad Lineal,12042326.42,
2023,212,Usera,19369273.48,
2023,213,Puente de Vallecas,9749039.43,
2023,210,Latina,11459014.05,
2023,211,Carabanchel,9304143.38,
2023,218,Villa de Vallecas,17174299.02,
2023,219,Vicálvaro,16751085.96,
2023,NN,Varios distritos,75353810.5,
2023,201,Centro,21687576.56,
2023,203,Retiro,9295628.46,
2023,202,Arganzuela,21397486.48,15634.8
2023,205,Chamartín,13013296.73,
2023,204,Salamanca,4492118.33,4257.61
2023,207,Chamberí,2059084.9,
2023,206,Tetuán,8491308.39,
2023,209,Moncloa-Aravaca,13172111.69,
2023,208,Fuencarral-El Pardo,26287576.34,49061.59
2023,221,Barajas,30902586.23,
2023,220,San Blas-Canillejas,7443206.3,
2023,NA,No distritalizable,4563064.15,2937.61
